,id,length,avg_inter
303,303,21,0.1115205551741875
304,304,11,0.1744813457272116
305,305,11,0.16629873086520214
306,306,15,0.13447834358794286
307,307,13,0.1346167151688549
308,308,20,0.09602217442380426
309,309,9,0.8047389604821152
310,310,12,0.1683473167027385
311,311,14,0.13381682496867497
312,312,19,0.12428368500655988
313,313,14,0.4675127731723065
314,314,5,0.7019880484898927
315,315,6,0.5251429608465491
316,316,21,0.09382232812304413
317,317,15,0.12965349747243618
318,318,11,0.2355853836494138
319,319,12,0.14704930945620387
320,320,16,0.1191665435533161
321,321,16,0.12467462153649479
322,322,19,0.09616918920125164
323,323,13,0.03793459002423182
324,324,21,0.08353516829738716
325,325,12,0.17192258616856368
326,326,12,0.15988296914084985
327,327,11,0.01239190544507985
328,328,12,0.14719835496528802
329,329,19,0.1286593101047005
330,330,15,0.05412745444324777
331,331,10,0.21685274714627167
332,332,21,0.10951276023531632
333,333,14,0.1400848462762108
334,334,12,0.2092508460324826
335,335,14,0.17314868301346586
336,336,21,0.08332847396526924
337,337,16,0.11956719565873057
338,338,20,0.0895421355839221
339,339,16,0.1284262263932881
340,340,21,0.11171411073246752
341,341,16,0.10853046595316605
342,342,14,0.13503811760453022
343,343,11,0.23142643995121404
344,344,15,0.12528917669978973
345,345,16,0.41026524171820966
346,346,12,0.14912241259230105
347,347,16,0.11867327560061473
348,348,13,0.15742341689888453
349,349,21,0.08628060170647814
350,350,7,0.11442471873225182
351,351,14,0.14047575245105196
352,352,10,0.20708407179153449
353,353,16,0.15001359586064664
354,354,14,0.12217023491616792
355,355,11,0.18359407982693993
356,356,14,0.13245356978443548
357,357,12,0.16725834883947158
358,358,14,0.13480360498218644
359,359,10,0.2575266857492276
360,360,12,0.15319015510007147
361,361,13,0.1558868540853187
362,362,21,0.09280593841003495
363,363,16,0.11475052182529115
364,364,10,0.18726782694691912
365,365,15,0.12298669351747246
366,366,16,0.11072686849423644
367,367,15,0.155835376960088
368,368,16,0.1500334622314757
369,369,12,0.15973331938660545
370,370,12,0.16152132833563293
371,371,14,0.1754687528253325
372,372,10,0.2642353861452025
373,373,12,0.16204402085494984
374,374,10,0.1854578985690769
375,375,3,4.441357106690493
376,376,16,0.11466299417933601
377,377,10,0.18740435730359808
378,378,9,0.3045582047289851
379,379,18,0.10470452224300128
380,380,13,0.13838044889930698
381,381,14,0.1329004371382283
382,382,11,0.17893433897985445
383,383,18,0.1306030426393828
384,384,17,0.13922852954524684
385,385,15,0.12930122365778124
386,386,15,0.1306769438075149
387,387,11,0.2343159430046969
388,388,14,0.13303865468172332
389,389,16,0.11996778804501608
390,390,14,0.17363259794099972
391,391,14,0.13178103455549775
392,392,14,0.17481959483440068
393,393,14,0.1674226817703229
394,394,17,0.11163468682502911
395,395,20,0.0965671222844786
396,396,11,0.17028044447463853
397,397,15,0.1603774192155041
398,398,15,0.11886105116132165
399,399,12,0.03076038831383317
400,400,21,0.11606610981516845
401,401,21,0.08838277582579375
402,402,13,0.1378559662303641
403,403,17,0.1104040770498669
404,404,19,0.10040606962104745
405,405,18,0.09604751834900623
406,406,17,0.11178779055089001
407,407,13,0.1422884948143427
408,408,12,0.15069685790111648
409,409,9,0.30125952463972744
410,410,17,0.11128500657647643
411,411,11,0.17253756352931626
412,412,11,0.18049072999432436
413,413,21,0.08380436733592661
414,414,17,0.11008753353781729
415,415,15,0.1277926862564869
416,416,17,0.11226389274024617
417,417,12,0.1574944038961427
418,418,14,0.17449665910678233
419,419,11,0.16557121800425423
420,420,21,0.09278060715451565
421,421,14,0.48441500656159847
422,422,11,0.16574233546050332
423,423,11,0.1109315415457552
424,424,13,0.1557779334806539
425,425,21,0.11925620833244326
426,426,16,0.11443708580512822
427,427,18,0.10938341351000293
428,428,19,0.0907373114098652
429,429,7,1.1097501729571042
430,430,15,0.18463771852123814
431,431,15,0.08155582067113522
432,432,14,0.2009747649344924
433,433,17,0.014937058090032004
434,434,12,0.224931693236399
435,435,16,0.16883653401043638
436,436,16,0.17259604579073967
437,437,18,0.15194329294457695
438,438,13,0.22494924195655946
439,439,12,0.2349241691518395
440,440,13,0.20375023088076488
441,441,11,0.25900471611423037
442,442,15,0.18258541534582184
443,443,17,0.15431961428133392
444,444,12,0.5021268544129338
445,445,21,0.1250855695633736
446,446,13,0.2072659815928678
447,447,13,0.08115421715443745
448,448,17,0.1605486027884592
449,449,20,0.06620447414094842
450,450,20,0.1281370701353761
451,451,20,0.13501205286258486
452,452,16,0.175528974555659
453,453,10,0.2732308956825332
454,454,12,0.080669493627749
455,455,9,0.12225956058485522
456,456,15,0.17883603339740756
457,457,11,0.10137774889406662
458,458,17,0.162942946899084
459,459,10,0.10929502625736372
460,460,13,0.21439113870199406
461,461,20,0.13218610851142196
462,462,12,0.22853621097110982
463,463,14,0.4301348491102126
464,464,14,0.20093181225993553
465,465,17,0.16995843390707543
466,466,20,0.1421518601969081
467,467,12,0.49752317671385143
468,468,13,0.20926853019170916
469,469,14,0.19780537270988685
470,470,14,0.03385850189542239
471,471,21,0.13012193215214965
472,472,15,0.18493273933068194
473,473,16,0.17419358936310456
474,474,14,0.19733079869548686
475,475,13,0.20504674437103237
476,476,14,0.45579203247605243
477,477,11,0.09340664254383234
478,478,18,0.16601315472086262
479,479,15,0.1764606574469415
480,480,12,0.2492474188491065
481,481,12,0.2372952345134281
482,482,19,0.15606204733251947
483,483,13,0.06592461784463831
484,484,15,0.18973108331861807
485,485,12,0.22494960846099094
486,486,18,0.15247099555478186
487,487,19,0.14763051999120125
488,488,14,0.1970684788008491
489,489,11,0.24818960911956417
490,490,17,0.07096203957704
491,491,13,0.22130657951514102
492,492,17,0.1594075523531497
493,493,16,0.17474124446673422
494,494,9,0.7045308467552589
495,495,12,0.23068688438584317
496,496,5,0.02391663831863274
497,497,10,0.09807794353829982
498,498,10,0.2852250867759364
499,499,16,0.07348140518113618
500,500,21,0.1273816323176777
501,501,14,0.1988615054120294
502,502,13,0.20251197432559423
503,503,16,0.15764828386368943
504,504,15,0.17994678519267457
505,505,20,0.13676475696686635
506,506,12,0.2261806942688788
507,507,11,0.01972783258039657
508,508,13,0.08313156817573607
509,509,21,0.1258650342017979
510,510,12,0.008254295104623737
511,511,4,0.008744098241251904
512,512,9,0.029844747653483
513,513,21,0.13084706371417992
514,514,10,0.10315451283681557
515,515,12,0.23094837875848634
516,516,14,0.20005162670654708
517,517,16,0.17017191150589608
518,518,10,0.11481207322717489
519,519,10,0.11173810973190915
520,520,18,0.15005174290289108
521,521,13,0.2191087208649818
522,522,18,0.15770171607093186
523,523,11,0.2562726225766602
524,524,15,0.17954947141210328
525,525,15,0.18158984805263653
526,526,16,0.16926666897412943
527,527,13,0.20876466940074784
528,528,4,0.0350875982669854
529,529,19,0.1433757758657886
530,530,8,0.16081903629300343
531,531,10,0.2410880760513437
532,532,15,0.15531326689651828
533,533,11,0.07678665471420715
534,534,8,0.12459593550946417
535,535,8,0.15863926283789775
536,536,12,0.2047033059916486
537,537,9,0.12673708066327324
538,538,13,0.18088119856494297
539,539,9,0.10503432333796038
540,540,14,0.17371788361422125
541,541,9,0.14620442004979012
542,542,12,0.20498355362812415
543,543,11,0.2167769886043905
544,544,8,0.16617114741863806
545,545,12,0.20143339662391999
546,546,20,0.027124424407520414
547,547,8,0.18034242122181465
548,548,10,0.30991016583307707
549,549,9,0.3684890134448286
550,550,13,0.24703097520430625
551,551,10,0.31611743769097433
552,552,11,0.3027166422256449
553,553,9,0.37649474521030407
554,554,8,0.42933157397037514
555,555,11,0.28788830942205407
556,556,15,0.19471109478457255
557,557,12,0.2542431994546031
558,558,8,0.42630392436624387
559,559,7,0.2307938509292818
560,560,9,0.3711983803055838
561,561,10,0.3154402673517231
562,562,12,0.2629390099364775
563,563,11,0.27901035810933095
564,564,12,0.27292018597970275
565,565,14,0.46767431643447716
566,566,10,0.3188773645561118
567,567,10,0.32327798771828886
568,568,11,0.2829917708131951
569,569,10,0.34149828376892566
570,570,10,0.32686012404230264
571,571,9,0.3760540510709588
572,572,9,0.3709382831659103
573,573,10,0.3249165242762455
574,574,11,0.29389265318025054
575,575,10,0.3258181947706308
576,576,11,0.2991870517820915
577,577,10,0.3191700614131688
578,578,16,0.15152764591238732
579,579,9,0.3790217111598815
580,580,13,0.23107897998368568
581,581,14,0.22045401291180286
582,582,10,0.32039255398799776
583,583,13,0.25033657466619763
584,584,12,0.26504916918375676
585,585,12,0.2540735321558546
586,586,8,0.4280743451602249
587,587,11,0.30101512157925253
588,588,10,0.3473056266714265
589,589,9,0.37122257832454875
590,590,11,0.3030108975339087
591,591,12,0.27038515403316804
592,592,11,0.2902231553992021
593,593,12,0.2575957313470924
594,594,11,0.2925249303798128
595,595,4,2.8258030549903674
596,596,9,0.388168218474329
597,597,9,0.3743615322636479
598,598,18,0.16335960673086125
599,599,8,0.4351931106176388
600,600,9,0.3663592207126344
601,601,11,0.2782257291104247
602,602,10,0.3241115888092908
603,603,9,0.3739055280442233
604,604,17,0.1283593668877734
605,605,15,0.15890817318150324
606,606,8,0.20463085878919393
607,607,13,0.16446997458534032
608,608,10,0.3203292375521411
